MATERIALS & DELIVERIES SCHEDULE — Plan 2788,,,,,,,
Week,Material,Quantity (Est.),Supplier Type,Delivery Vehicle,Unload Zone,Storage Location,Notes
1,Temp fence panels,200 LF,Rental,Flatbed,Site perimeter,Installed immediately,Set before any work begins
2,Excavation equipment,1 excavator,Rental,Lowboy trailer,South access,South staging,Deliver Monday AM wk 2
3,Ready-mix concrete – ftgs,18 CY,Ready-mix plant,Mixer trucks ×3,South pump zone,Pour direct – no storage,"Morning pour, 3 trucks sequential"
4,Rebar (footings+slab),4 tons,Steel supplier,Flatbed,East access,East staging area,Bundle by use zone. Heavy – forklift req.
4,PVC pipe – sub-slab,200 LF + fittings,Plumbing supplier,Van/pickup,North entry,Inside footprint,Small – stage inside
5,Ready-mix – slab,42 CY,Ready-mix plant,Mixer trucks ×6,South pump zone,Pour direct,PEAK DAY – 6 trucks. All other access blocked
6,"CMU block (8"" + 6"")",18 pallets,Masonry supplier,Flatbed + fork,East + South,Staged by elevation,Heaviest delivery. Forklift essential
7,Vigas (peeled latilla),30 pcs × 16-20ft,Timber supplier,Flatbed long load,West – long load,West staging – clear 30ft,Requires long-load permit. Crane assist
7,Lumber – roof framing,"8,000 BF",Lumber yard,Flatbed,South staging,South staging stacked,Tarped – rain protection
8,OSB sheathing,120 sheets,Lumber yard,Flatbed,South staging,South staging,Lift to roof by crane
9,Copper/PVC plumbing pipe,500 LF + fittings,Plumbing supply,Van,North entry,Inside – by room,Stage per room for efficiency
9,HVAC ductwork + units,2 AHUs + ducts,HVAC supplier,Box truck,North staging,North staging,Units heavy – stage near crane reach
9,Electrical wire + panel,Full rough pkg,Electrical supply,Van,North entry,Inside – locked,Panel: 200A. Lock storage required
10,Black iron pipe – gas,150 LF + fittings,Plumbing supply,Van,West entry,West exterior,BBQ + fireplace lines
11,Scaffold – tube & clamp,Full perimeter,Rental,Flatbed,South,Erected immediately,Full perimeter scaffold. 3-4 lifts
11,Stucco mix + lath,8 tons mix,Masonry supply,Flatbed,South staging,South – covered pallet,Keep dry. Rotate stock FIFO
11,Roof tile pallets,22 pallets,Roofing supplier,Flatbed,East staging,East – crane lifts to roof,Heaviest roof load. Structural check req.
12,Flagstone pallets,4 pallets,Stone supplier,Flatbed,NE corner,NE corner – adjacent work,Flagstone for portal + hearth
13,Ready-mix – flatwork,12 CY,Ready-mix plant,Mixer ×2,Multiple portals,Pour direct,3 separate pours: portals + drives
14,Drywall – type X,80 sheets,Drywall supplier,Flatbed,Garage entry,Inside garage,Type X fire-rated for garage only
14,Hardwood flooring,"1,100 SF",Flooring supplier,Box truck,North entry,Inside – LR zone (acclim.),MUST acclimatise 72hr before install
15,Tile – floor (all),650 SF + grout,Tile supplier,Box truck,North entry,Inside – by room,"Kitchen, baths, entry – stage per room"
15,Cabinetry,Full kitchen set,Cabinet maker,Box truck,North entry,Inside – kitchen,Deliver after plaster dry
16,Carpet + pad,950 SF,Flooring supplier,Box truck,North entry,Inside – bedrooms,Last floor install – after all others
16,Cultured stone – fireplace,1 pallet,Stone supplier,Pickup,LR entry,Inside – LR,Small delivery – protect hardwood
17,Plumbing fixtures,Full trim set,Plumbing supply,Van,North entry,Inside – by bathroom,Fragile. Just-in-time delivery only
17,Electrical fixtures,Full trim set,Electrical supply,Van,North entry,Inside – locked,After panel energised
17,Paint + primer,60 gallons,Paint supplier,Pickup,North entry,Inside – cool storage,Flammable – ventilated storage req.
18,Melamine shelving,1 kitchen set,Cabinet maker,Van,North entry,Inside – kitchen,Final interior item
20,Landscaping / final grade,"Sod, plants, gravel",Landscape supply,Pickup/trailer,South entry,Exterior – all sides,After CO – site restoration